titles,prices,ratings,reviews,availability
PlayStation 5 (Slim) - (Renewed Premium),$449.99,,1 rating, Only 2 left in stock - order soon. 
PlayStation 5 Digital Edition - CFI-1102B,, 4.8 ,834 ratings,Not Available
EA SPORTS College Football 25 - PlayStation 5,, $69.99 ,6 ratings, Only 1 left in stock - order soon. 
"PlayStation 5 Slim Ultra HD Blu-ray Disc Drive, Black",,,43 ratings, Only 9 left in stock - order soon. 
$150 PlayStation Store Gift Card [Digital Code],,,"250,102 ratings",Not Available
"WD_BLACK 2TB SN850P NVMe M.2 SSD Officially Licensed Storage Expansion for PS5 Consoles, up to 7,300MB/s, with heatsink - WDBBYV0020BNC-WRSN",, $209.99 ,"3,911 ratings",Not Available
"Logitech G29 Driving Force Racing Wheel and Floor Pedals, Real Force Feedback, Stainless Steel Paddle Shifters, Leather Steering Wheel Cover for PS5, PS4, PC, Mac - Black",, 4.6 ,"18,863 ratings",Not Available
PlayStation DualSense Edge Wireless Controller,, 4.7 ,"88,398 ratings",Not Available
"Seagate Game Drive for PS5 5TB External HDD - USB 3.0, Officially Licensed, Blue LED (STLV5000100)",, $149.99 ,197 ratings,Not Available
PlayStation PULSE Elite Wireless Headset,,,716 ratings, Only 17 left in stock - order soon. 
$200 PlayStation Store Gift Card [Digital Code],,,"250,102 ratings",Not Available
AMZDM for PS5 Stand Cooling Station with Dual PS5 Charging Station Playstation 5 Console Cooler Docking Station with Cooling Fan PS5 Controller Fast Charging PS 5 Disc & Digital Standard Version White,, $26.99 ,182 ratings,Not Available
"ASSASSIN'S CREED MIRAGE - STANDARD EDITION, PLAYSTATION 5",, $32.31 ,441 ratings,Not Available
$250 PlayStation Store Gift Card [Digital Code],,,"250,102 ratings",Not Available
Final Fantasy XVI - PlayStation 5,, $29.99 ,"1,620 ratings",Not Available
Playstation Media Remote,$29.00,,"12,528 ratings",Not Available
PlayStation®5 Digital Edition (slim),$449.00,,"1,650 ratings", Only 1 left in stock - order soon. 
AMZDM PS5 Cooling Station Dual PS5 Charging Station Playstation 5 Console Cooler Fan for ps5 Host Docking Station Ps5 Controller Charger Fast Charging PS 5 Disc & Digital 2023 Version Black,, $29.99 ,13 ratings, Only 2 left in stock - order soon. 
"Turtle Beach Stealth 600 Wireless Multiplatform Amplified Gaming Headset for PS5, PS4, PC, Nintendo Switch & Mobile – Bluetooth, 80-Hr Battery, Noise-Cancelling Flip-to-Mute Mic, 50mm Speakers – Black",, $99.00 ,48 ratings,Not Available
Gigantosaurus Dino Sports - PlayStation 5,, $39.99 ,,Not Available
